G,a,CSMA_throughput,CSMA_CD_throughput
2.600,0.200,0.000000,0.528148
2.600,0.500,0.000000,0.211642
2.700,0.000,0.000000,0.730672
2.700,0.010,0.000000,0.724474
2.700,0.050,0.000000,0.695656
2.700,0.100,0.000000,0.646878
2.700,0.200,0.000000,0.527607
2.700,0.500,0.000000,0.200485
2.800,0.000,0.000000,0.737393
2.800,0.010,0.000000,0.732122
2.800,0.050,0.000000,0.701321
2.800,0.100,0.000000,0.654454
2.800,0.200,0.000000,0.525456
2.800,0.500,0.000000,0.196211
2.900,0.000,0.000000,0.743069
2.900,0.010,0.000000,0.735859
2.900,0.050,0.000000,0.706725
2.900,0.100,0.000000,0.655555
2.900,0.200,0.000000,0.524673
2.900,0.500,0.000000,0.188634
3.000,0.000,0.000000,0.749421
3.000,0.010,0.000000,0.743612
3.000,0.050,0.000000,0.713149
3.000,0.100,0.000000,0.659671
3.000,0.200,0.000000,0.523437
3.000,0.500,0.000000,0.182651
